,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
1,D,A,D,E,E,A,A,B,A,C,B,A,C,A,A,A,C,B,D,D,B,D,A,E,A,D,C,C,B,B,A,B,B,C,A,C,B,B,D,A,A,B,C,C,B,D,C,C,,,,,
2,D,B,E,E,C,A,C,A,A,E,A,D,E,A,E,A,A,C,D,E,A,B,B,A,C,B,C,A,D,C,D,A,D,B,A,D,D,A,D,A,D,D,D,C,C,B,C,D,,,,,
3,A,A,C,C,A,D,A,E,B,B,E,C,B,A,A,E,B,C,D,C,D,A,D,C,A,A,A,C,A,A,A,A,D,D,D,C,D,B,A,D,A,C,B,A,D,A,A,A,,,,,
4,C,C,B,E,E,E,C,E,B,C,D,A,A,E,E,D,E,B,A,C,D,C,B,E,E,D,A,A,D,A,A,B,A,B,B,B,C,B,D,C,D,A,C,A,B,D,B,A,,,,,
5,A,E,C,A,A,D,E,A,E,E,B,C,D,A,E,A,A,D,E,B,B,E,E,B,B,B,C,C,B,A,D,C,A,D,A,B,A,C,B,A,D,A,A,B,D,A,A,B,,,,,
6,B,B,E,D,C,D,A,A,D,A,C,A,E,E,C,A,B,E,C,B,E,D,C,B,D,A,A,C,D,B,B,C,A,C,C,D,C,D,A,B,A,D,D,D,D,B,D,A,,,,,
7,E,D,C,D,D,E,C,A,A,E,D,A,E,E,B,A,B,A,C,A,B,B,A,C,A,A,D,D,D,A,B,C,B,D,A,C,B,C,A,A,B,D,B,C,A,A,C,B,,,,,
8,D,B,C,C,C,C,B,B,D,B,B,E,C,B,E,A,B,E,D,E,D,B,D,B,B,D,D,D,C,D,D,D,D,A,A,D,A,A,D,C,A,C,C,A,B,B,D,D,,,,,
9,C,E,B,D,C,B,D,B,B,C,C,D,B,C,D,E,C,C,E,C,A,D,A,D,D,D,C,A,A,A,A,A,B,C,B,A,D,A,B,D,C,D,D,A,A,D,A,C,,,,,
10,C,D,A,B,D,C,B,C,C,C,E,E,C,C,A,D,D,B,B,D,C,E,D,A,E,B,D,B,D,B,B,A,C,D,C,D,A,C,D,C,C,B,A,B,C,A,D,B,,,,,
11,B,C,D,D,C,C,B,D,E,A,D,D,D,D,C,E,B,E,C,C,B,D,C,E,B,C,B,B,B,C,D,C,B,B,B,C,D,A,C,D,B,D,C,A,C,C,B,C,,,,,
12,B,D,D,B,D,D,D,E,C,A,A,A,D,B,A,C,A,A,C,D,A,B,C,B,B,C,D,B,D,C,D,A,C,D,B,B,C,D,D,D,C,A,B,D,B,C,D,A,,,,,
13,B,C,E,B,C,B,A,A,D,E,D,B,A,B,C,C,B,D,E,C,C,B,C,A,E,D,D,C,C,D,A,C,C,A,C,D,C,C,B,A,B,C,A,D,C,B,B,C,,,,,
14,B,B,E,B,D,E,B,C,B,B,D,E,C,D,D,B,B,D,A,E,E,C,B,A,A,A,A,C,C,D,B,D,D,D,B,B,D,D,C,C,B,B,C,B,A,C,B,A,,,,,
15,E,E,B,A,E,A,A,A,A,E,C,E,B,C,A,B,B,A,B,A,C,E,E,C,C,A,D,B,D,C,C,C,D,B,A,A,B,C,C,B,C,D,D,D,C,A,A,D,,,,,
16,A,D,B,B,B,C,B,A,E,D,B,E,A,D,B,A,A,A,A,D,A,E,A,C,C,A,D,A,B,A,A,B,A,A,C,B,B,C,B,D,D,A,D,B,A,D,D,D,,,,,
17,E,E,B,C,D,D,E,A,B,C,A,C,A,E,D,B,E,A,C,D,E,B,B,E,A,B,B,C,D,A,A,C,B,B,C,B,B,D,D,A,D,B,A,C,B,B,B,C,,,,,
18,D,D,C,A,E,B,E,B,B,A,B,B,B,A,D,B,A,E,C,E,B,B,D,A,C,C,B,D,C,B,B,C,B,C,B,A,C,A,A,C,A,B,D,B,B,C,A,C,,,,,
19,E,D,D,C,C,A,D,A,E,B,D,C,C,C,C,D,C,A,E,E,D,D,B,A,E,D,A,B,B,C,A,C,A,C,D,C,C,A,C,A,D,D,A,B,D,D,C,D,,,,,
20,C,B,B,A,E,E,A,B,C,D,C,B,C,C,B,D,B,C,D,B,E,C,B,E,C,A,C,C,C,A,D,C,C,A,D,C,D,B,C,C,D,B,C,D,C,B,A,D,,,,,
21,C,A,C,B,B,E,C,D,D,C,A,C,D,C,A,B,A,D,C,B,C,C,A,E,C,C,C,B,C,D,D,D,D,B,D,D,C,A,B,B,C,C,B,C,D,B,C,B,,,,,
22,A,B,D,D,D,E,E,D,C,A,E,B,D,B,C,D,C,B,B,C,D,A,E,C,A,A,B,D,C,D,D,C,B,D,C,A,A,C,A,D,D,B,B,C,A,C,B,B,,,,,
23,A,D,A,E,D,B,D,C,B,D,B,D,B,D,B,D,C,E,D,B,D,E,A,D,C,B,B,B,B,C,B,A,B,A,B,D,B,B,C,A,A,B,A,B,B,C,D,A,,,,,
